Date,Team,Opp,BO,Pos,divider,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,type,G,AB,1B,BB,IBB,SO,HBP,SF,SH,GDP,BB/K,OPS,Spd,wSB,wRC,wRAA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches,LA,Barrels,Barrel%,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Events,maxEV,HardHit,HardHit%
Total,- - -,- - -,- - -,- - -,,626,140,23,0,17,84,60,38,9,12.00%,19.80%,0.138,0.306,86.2,0.26,0.351,0.398,0.33,112,0,152,538,100,75,1,124,3,5,5,7,0.6,0.749,5.1,,82,6,1.04,20.60%,40.50%,38.80%,8.60%,10.50%,10.70%,14.30%,45.00%,34.20%,20.80%,18.20%,55.00%,26.90%,169,162,86,14,18,7,1,1036,1695,2731,13.6,18,4.20%,1.09,-9.51,10.61,8.69,0.8,0.92,1.14,4,1.33,-0.14,93.7,24.40%,84.7,5.70%,88.4,6.90%,79.6,6.20%,85.2,1.80%,86.2,,,0.30%,4.9,5.7,-1.9,1.5,0.3,0.6,,0.32,0.85,-1.23,0.79,0.17,1.16,,23.00%,57.20%,38.50%,76.30%,88.20%,84.30%,45.50%,57.70%,6.00%,424,108.5,111,26.20%
2023.10.1,SDP,@CHW,2,2B-SS,,5,0,0,0,0,0,1,0,0,0.00%,0.00%,0,0,84.2,0,0,0,0,-100,0,1,4,0,0,0,0,0,1,0,0,0,0,0.1,,-1,-1.3,0.33,20.00%,20.00%,60.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,60.00%,20.00%,40.00%,40.00%,1,3,1,0,0,0,0,6,12,18,26.3,0,0.00%,-0.07,-0.14,0.07,-1,-0.1,2.15,,0,-0.09,0.05,95.6,27.80%,87.2,,,5.60%,78,5.60%,89,,,,,,-0.6,-0.5,,0,0,,,-5.69,-10.65,,3.64,3.87,,,40.00%,62.50%,50.00%,75.00%,80.00%,77.80%,44.40%,40.00%,11.10%,5,92.2,0,0.00%
2023.9.30,SDP,@CHW,2,2B,,5,4,1,0,0,1,0,2,0,0.00%,0.00%,0.2,0.8,80.5,0.8,0.8,1,0.778,412,0,1,5,3,0,0,0,0,0,0,0,0,1.8,5.9,,3,1.9,2,40.00%,40.00%,20.00%,0.00%,0.00%,0.00%,0.00%,20.00%,20.00%,60.00%,0.00%,100.00%,0.00%,2,1,2,0,0,0,0,7,17,24,13.3,0,0.00%,0.1,0,0.1,2.12,0.21,0.49,,0,0.19,0.01,92.5,29.20%,84.4,8.30%,83.5,,,16.70%,84,,,,,,0.6,0.7,0.6,,0.1,,,5.06,10.3,27.57,,3.51,,,30.80%,81.80%,54.20%,100.00%,100.00%,100.00%,45.80%,40.00%,0.00%,5,95.6,1,20.00%
2023.9.29,SDP,@CHW,5,2B,,5,0,0,0,0,0,0,0,0,40.00%,20.00%,0,0,73.9,0,0.4,0,0.278,77,0,1,3,0,2,0,1,0,0,0,0,2,0.4,0.1,,0,-0.2,1,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,1,1,0,0,0,0,0,14,12,26,-4.8,0,0.00%,-0.08,-0.09,0.01,-0.61,-0.06,0.79,,0,-0.02,-0.08,94.8,42.30%,84,7.70%,95.5,3.80%,78,,,,,,,,-0.3,0,0,0.1,,,,-2.15,0.41,2.24,5.8,,,,5.90%,66.70%,26.90%,0.00%,83.30%,71.40%,34.60%,40.00%,7.70%,2,85.2,0,0.00%
2023.9.27,SDP,@SFG,5,2B,,5,0,0,0,0,0,0,0,0,0.00%,20.00%,0,0,85.5,0,0,0,0,-100,0,1,5,0,0,0,1,0,0,0,0,0,0,0.1,,-1,-1.3,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,0.00%,0,4,0,0,0,0,0,5,18,23,46.1,0,0.00%,-0.15,-0.15,0.01,-1.26,-0.13,1.31,,0,-0.03,-0.08,94.6,21.70%,84,,,,,30.40%,87.4,,,,,,-0.9,0,,,-0.4,,,-8.53,0.67,,,-6.26,,,45.50%,58.30%,52.20%,100.00%,71.40%,83.30%,52.20%,60.00%,8.70%,4,91.1,0,0.00%
2023.9.26,SDP,@SFG,2,2B,,5,0,0,0,0,0,1,0,0,0.00%,60.00%,0,0,68.7,0,0,0,0,-100,0,1,5,0,0,0,3,0,0,0,0,0,0,0.1,,-1,-1.3,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,2,0,0,0,0,0,0,5,13,18,-28.1,0,0.00%,-0.03,-0.06,0.03,-0.74,-0.08,0.83,,0,-0.08,0.04,94.9,44.40%,84.4,,,,,11.10%,86,,,,,,-0.6,-0.4,,,-0.3,,,-7.39,-5.02,,,-14.06,,,37.50%,50.00%,44.40%,100.00%,20.00%,50.00%,55.60%,80.00%,22.20%,2,70.4,0,0.00%
2023.9.25,SDP,@SFG,5,3B,,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,86.1,0,0,0,0,-100,0,1,4,0,0,0,2,0,0,0,0,0,0,0.1,,-1,-1.1,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,50.00%,0.00%,50.00%,1,0,1,0,0,0,0,3,10,13,-15.5,0,0.00%,-0.11,-0.12,0.01,-1.36,-0.14,2.21,,0,-0.09,0.04,92.3,23.10%,83.7,,,,,53.80%,86.7,,,,,,-0.2,-0.1,,,-0.7,,,-6.39,-4.28,,,-10.38,,,42.90%,50.00%,46.20%,33.30%,100.00%,66.70%,46.20%,50.00%,15.40%,2,105,1,50.00%
2023.9.24,SDP,STL,2,SS,,5,2,1,0,0,2,0,0,0,0.00%,0.00%,0.2,0.4,89.5,0.4,0.4,0.6,0.425,175,0,1,5,1,0,0,0,0,0,0,0,0,1,2.6,,1,0.4,1,60.00%,20.00%,20.00%,0.00%,0.00%,100.00%,0.00%,60.00%,0.00%,40.00%,20.00%,60.00%,20.00%,1,1,3,0,1,0,0,10,15,25,10.3,1,20.00%,0.12,0,0.12,2.49,0.27,0.36,,0,0.2,0.13,89.6,40.00%,81.4,,,,,4.00%,83,4.00%,88,,,,1.6,0.3,,,-0.1,0,,11.94,2.9,,,-5.63,4.6,,9.10%,57.10%,36.00%,100.00%,100.00%,100.00%,56.00%,60.00%,0.00%,5,107.3,2,40.00%
2023.9.23,SDP,STL,6,2B,,5,0,0,0,0,0,0,0,1,60.00%,0.00%,0,0,93.6,0,0.6,0,0.348,124,0,1,2,0,3,1,0,0,0,0,0,3,0.6,2.1,,1,0.1,0,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0,1,1,0,0,0,0,12,9,21,35.1,0,0.00%,-0.04,-0.11,0.07,-0.07,-0.01,2.18,,0,-0.01,-0.01,93,9.50%,82,23.80%,88.4,,,,,,,,,19.00%,0.2,-0.1,0.1,,,,,1.21,-7.46,1.92,,,,,7.10%,57.10%,23.80%,100.00%,100.00%,100.00%,33.30%,40.00%,0.00%,2,101.7,1,50.00%
2023.9.22,SDP,STL,6,2B,,4,1,1,0,0,0,0,0,0,0.00%,25.00%,0.25,0.333,83.1,0.25,0.25,0.5,0.311,99,0,1,4,0,0,0,1,0,0,0,0,0,0.75,0.1,,0,0,2,0.00%,66.70%,33.30%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,33.30%,33.30%,33.30%,2,1,0,0,0,0,0,5,11,16,-16.2,0,0.00%,0.02,-0.04,0.06,0.14,0.01,0.61,,0,0,0.03,92.4,25.00%,85.3,,,12.50%,79,,,,,,,,0.2,0.1,,-0.3,,,,1.69,2.19,,-13.21,,,,42.90%,44.40%,43.80%,66.70%,75.00%,71.40%,56.30%,50.00%,12.50%,3,96.7,1,33.30%
