Date,Team,Opp,BO,Pos,divider,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,type,G,AB,1B,BB,IBB,SO,HBP,SF,SH,GDP,BB/K,OPS,Spd,wSB,wRC,wRAA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches,LA,Barrels,Barrel%,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Events,maxEV,HardHit,HardHit%
Total,- - -,- - -,- - -,- - -,,458,98,16,0,37,79,75,3,1,19.20%,28.40%,0.346,0.3,97.6,0.267,0.406,0.613,0.42,174,0,106,367,45,88,9,130,0,3,0,5,0.68,1.019,2.6,,95,38.8,0.61,19.60%,30.40%,50.00%,6.70%,30.80%,5.50%,0.00%,45.00%,34.20%,20.80%,7.90%,38.30%,53.80%,73,120,47,8,4,0,0,815,1089,1904,20.4,66,27.50%,3.09,-6.57,9.66,48.57,4.96,0.93,1.84,2,5.1,-1.78,94.5,26.40%,84.7,7.90%,88.8,8.80%,80.6,11.70%,86.1,4.30%,86.9,,,,27.1,5.9,1.1,-0.3,4.8,0.4,,3.48,1.18,0.75,-0.18,2.14,0.44,,22.50%,69.40%,41.30%,45.30%,76.70%,66.50%,40.10%,59.00%,13.80%,240,116.9,154,64.20%
2023.9.30,NYY,@KCR,2,DH,,5,1,0,0,0,0,0,0,0,20.00%,20.00%,0,0.333,97,0.25,0.4,0.25,0.316,102,0,1,4,1,1,0,1,0,0,0,0,1,0.65,0.1,,1,0,0,33.30%,0.00%,66.70%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,0.00%,0.00%,33.30%,66.70%,0,2,1,0,0,0,0,8,14,22,24.6,1,33.30%,-0.02,-0.08,0.06,-0.27,-0.03,1.16,,0,-0.03,0.01,95.9,22.70%,84.6,13.60%,90.3,,,13.60%,86.3,,,,,,-0.2,0,0.4,,-0.2,,,-1.71,-0.55,12.43,,-5.65,,,23.10%,66.70%,40.90%,66.70%,83.30%,77.80%,40.90%,60.00%,9.10%,3,101.7,2,66.70%
2023.9.29,NYY,@KCR,2,DH,,4,1,1,0,0,2,0,0,0,25.00%,0.00%,0.333,0.333,104.6,0.333,0.5,0.667,0.485,219,0,1,3,0,1,0,0,0,0,0,0,1,1.167,2.6,,1,0.6,0.5,0.00%,33.30%,66.70%,0.00%,0.00%,0.00%,0.00%,33.30%,33.30%,33.30%,0.00%,33.30%,66.70%,1,2,0,0,0,0,0,11,9,20,29.9,1,33.30%,0.01,-0.02,0.02,0.84,0.08,0.3,,0,0.06,-0.04,92.5,15.00%,82.7,,,20.00%,82.3,,,,,,,,-0.3,0,,0.9,,,,-2.52,0.73,,22.35,,,,14.30%,66.70%,30.00%,100.00%,75.00%,83.30%,30.00%,50.00%,5.00%,3,110.6,3,100.00%
2023.9.28,NYY,@TOR,2,RF,,4,0,0,0,0,0,0,0,0,25.00%,50.00%,0,0,94,0,0.25,0,0,-100,0,1,3,0,1,1,2,0,0,0,0,0.5,0.25,0.1,,-1,-1.1,1,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,1,0,0,0,0,0,0,4,8,12,-22.4,0,0.00%,-0.03,-0.04,0.01,-0.44,-0.05,0.72,,0,-0.07,0.03,93.8,8.30%,74,8.30%,89,,,33.30%,84.5,,,,,,-0.1,-0.2,-0.3,,-0.1,,,-2.23,-18.08,-32.49,,-3.56,,,33.30%,66.70%,50.00%,50.00%,25.00%,33.30%,50.00%,50.00%,33.30%,1,94,0,0.00%
2023.9.27,NYY,@TOR,2,RF,,5,2,0,0,2,3,4,0,0,40.00%,20.00%,2,0,112.5,0.667,0.8,2.667,1.176,698,0,1,3,0,2,1,1,0,0,0,0,2,3.467,2.6,,4,3.6,0,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,100.00%,0,2,0,0,0,0,0,11,6,17,26.1,2,100.00%,0.23,-0.02,0.25,3.74,0.38,0.65,,0,0.35,0.01,93.8,17.60%,85.3,,,17.60%,83,35.30%,83.3,,,,,,1.3,0.2,,0.1,1.4,,,26.79,6.8,,4.44,22.69,,,13.30%,100.00%,23.50%,0.00%,100.00%,50.00%,11.80%,20.00%,11.80%,2,112.7,2,100.00%
2023.9.25,NYY,ARI,2,DH,,4,0,0,0,0,0,0,0,0,25.00%,25.00%,0,0,107.2,0,0.25,0,0.174,4,0,1,3,0,1,0,1,0,0,0,0,1,0.25,0.1,,0,-0.5,1,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,1,1,0,0,0,0,0,7,11,18,20.2,1,50.00%,-0.07,-0.13,0.06,-0.3,-0.03,1.56,,0,-0.04,0,91.8,5.60%,86,33.30%,91.2,,,16.70%,90.3,,,,,,-0.1,0,-0.4,,0.1,,,-1.21,3.87,-7.42,,1.93,,,36.40%,71.40%,50.00%,25.00%,60.00%,44.40%,38.90%,100.00%,27.80%,2,112.2,2,100.00%
2023.9.24,NYY,ARI,2,DH,,5,1,1,0,0,0,1,0,0,40.00%,40.00%,0.333,1,103.8,0.333,0.6,0.667,0.527,248,0,1,3,0,2,0,2,0,0,0,0,1,1.267,0.1,,1,0.9,0,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0,1,0,0,0,0,0,12,15,27,45.8,0,0.00%,-0.04,-0.08,0.04,1.37,0.14,0.89,,0,0.12,-0.17,94.7,7.40%,86,25.90%,89.3,22.20%,83.3,3.70%,88,,,,,,0.7,0,0.3,-0.2,0,,,6.3,-0.73,4.47,-2.85,0,,,29.40%,90.00%,51.90%,40.00%,66.70%,57.10%,37.00%,60.00%,22.20%,1,103.8,1,100.00%
2023.9.22,NYY,ARI,2,RF,,4,4,1,0,3,3,6,0,0,0.00%,0.00%,2.5,1,108.1,1,1,3.5,1.814,1140,0,1,4,0,0,0,0,0,0,0,0,0,4.5,0.1,,5,5,0,25.00%,0.00%,75.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,25.00%,75.00%,0,3,1,0,0,0,0,4,7,11,21.8,3,75.00%,0.31,0,0.31,5.15,0.53,0.76,,0,0.66,-0.25,93.4,36.40%,83.3,,,,,,,,,,,1.80%,4.1,0.8,,,,,,58.9,20.47,,,,,,0.00%,100.00%,54.50%,,100.00%,100.00%,54.50%,50.00%,0.00%,4,112.4,4,100.00%
2023.9.21,NYY,TOR,2,DH,,4,2,1,0,0,0,1,0,0,0.00%,25.00%,0.25,0.667,102.6,0.5,0.5,0.75,0.532,252,0,1,4,1,0,0,1,0,0,0,0,0,1.25,0.1,,1,0.7,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.70%,0.00%,33.30%,0.00%,33.30%,66.70%,0,0,3,0,0,0,0,3,8,11,15,1,33.30%,-0.02,-0.04,0.02,0.8,0.08,0.45,,0,0.1,-0.15,95.3,9.10%,88,,,36.40%,81.8,,,,,,,,0.2,0.8,,-0.3,,,,4.09,81.41,,-8.58,,,,0.00%,75.00%,54.50%,,100.00%,100.00%,72.70%,100.00%,0.00%,3,113.5,2,66.70%
2023.9.20,NYY,TOR,2,RF,,4,0,0,0,0,0,0,0,0,50.00%,50.00%,0,0,,0,0.5,0,0.348,124,0,1,2,0,2,0,2,0,0,0,0,1,0.5,0.1,,1,0.1,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,11,9,20,,0,,0.02,-0.03,0.05,0.25,0.03,0.67,,0,0.03,0.01,96.2,10.00%,84.5,,,,,,,40.00%,86.5,,,,0.3,-0.3,,,,0.1,,3.18,-14.14,,,,1.26,,11.80%,0.00%,10.00%,0.00%,,0.00%,15.00%,75.00%,10.00%,0,,0,
