Date,Team,Opp,BO,Pos,divider,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,type,G,AB,1B,BB,IBB,SO,HBP,SF,SH,GDP,BB/K,OPS,Spd,wSB,wRC,wRAA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches,LA,Barrels,Barrel%,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Events,maxEV,HardHit,HardHit%
Total,- - -,- - -,- - -,- - -,,599,151,26,8,44,102,95,20,6,15.20%,23.90%,0.35,0.342,94.4,0.304,0.412,0.654,0.433,180,0,135,497,73,91,21,143,3,3,0,9,0.64,1.066,6.6,,130,57.3,1.07,18.20%,42.30%,39.50%,5.70%,31.20%,7.30%,0.00%,38.90%,36.10%,24.90%,9.80%,47.30%,42.90%,151,141,65,8,11,0,0,916,1413,2329,13.2,70,19.30%,4.13,-9.35,13.48,61.13,6.08,1.01,,0,6.16,-2.08,94.6,23.10%,85.1,9.30%,89.9,7.60%,80,15.20%,86.6,4.50%,86.8,,,3.50%,28,6.6,7,5.5,6.5,1.3,,3,1.23,3.22,3.1,1.85,1.22,,33.30%,70.70%,48.00%,56.50%,81.40%,70.90%,39.30%,57.10%,13.90%,362,118.6,193,53.30%
2023.9.3,LAA,@OAK,2,DH,,5,0,0,0,0,0,0,1,0,40.00%,40.00%,0,0,66.7,0,0.4,0,0.278,72,0,1,3,0,2,0,2,0,0,0,0,1,0.4,5,,0,-0.2,0,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0,1,0,1,0,0,0,13,12,25,74.1,0,0.00%,-0.01,-0.05,0.04,0.06,0.01,0.55,,0,0.02,-0.03,93.8,32.00%,84.9,,,12.00%,82.7,8.00%,82.5,,,,,,0.5,-0.8,,0.2,0,,,3.84,-9.93,,5.38,-0.25,,,35.00%,80.00%,44.00%,42.90%,100.00%,63.60%,20.00%,40.00%,16.00%,1,66.7,0,0.00%
2023.9.2,LAA,@OAK,2,DH,,5,0,0,0,0,0,0,0,0,60.00%,0.00%,0,0,79.6,0,0.6,0,0.232,40,0,1,2,0,3,2,0,0,0,0,0,3,0.6,0.1,,0,-0.4,1,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,0.00%,1,1,0,0,0,0,0,6,7,13,20.6,0,0.00%,0.01,-0.11,0.12,0.27,0.03,2.51,,0,0.02,-0.01,92.5,,,15.40%,89,15.40%,78.5,23.10%,86,,,,,61.50%,0.4,,0,-0.2,-0.3,,,5.85,,-1.33,-11.14,-8.95,,,25.00%,100.00%,53.80%,0.00%,80.00%,57.10%,38.50%,20.00%,23.10%,2,83.7,0,0.00%
2023.9.1,LAA,@OAK,3,DH,,4,1,1,0,0,1,0,0,0,25.00%,0.00%,0.333,0.333,78.6,0.333,0.5,0.667,0.485,215,0,1,3,0,1,0,0,0,0,0,0,1,1.167,2.6,,1,0.6,3,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.70%,0.00%,33.30%,33.30%,33.30%,33.30%,3,0,0,0,0,0,0,4,11,15,-14.8,0,0.00%,-0.03,-0.06,0.03,0.19,0.02,0.77,,0,0.08,-0.12,94,42.90%,81.7,,,7.10%,79,,,,,,,6.70%,-0.4,0.8,,0,,,,-5.63,13.44,,-4.16,,,,66.70%,40.00%,57.10%,83.30%,100.00%,87.50%,35.70%,100.00%,6.70%,3,100.9,1,33.30%
2023.8.30,LAA,@PHI,3,DH,,5,1,0,0,0,1,1,0,0,20.00%,40.00%,0,0.5,102,0.25,0.4,0.25,0.316,98,0,1,4,1,1,0,2,0,0,0,1,0.5,0.65,2.6,,1,0,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,2,0,0,0,0,0,0,7,11,18,-7.7,0,0.00%,0.03,-0.14,0.18,0.3,0.03,1.64,,0,0.01,0.01,95.2,22.20%,86.5,,,,,5.60%,82,,,,,,-0.4,0.2,,,-0.2,,,-3.03,5.23,,,-23.86,,,38.50%,60.00%,44.40%,40.00%,33.30%,37.50%,27.80%,100.00%,27.80%,2,105.7,2,100.00%
2023.8.29,LAA,@PHI,2,DH,,5,3,1,0,0,0,2,0,1,0.00%,0.00%,0.2,0.6,90,0.6,0.6,0.8,0.602,296,0,1,5,2,0,0,0,0,0,0,0,0,1.4,2.5,,2,1.2,1,60.00%,20.00%,20.00%,0.00%,0.00%,100.00%,0.00%,20.00%,40.00%,40.00%,20.00%,40.00%,40.00%,1,1,3,0,1,0,0,5,6,11,8.5,1,20.00%,0.09,-0.08,0.17,1.59,0.16,1.04,,0,0.1,-0.02,95.3,27.30%,86.7,,,,,45.50%,83.2,,,,,,0.4,-0.2,,,1,,,12.45,-5.81,,,19.48,,,33.30%,80.00%,54.50%,100.00%,100.00%,100.00%,45.50%,40.00%,0.00%,5,118.6,2,40.00%
2023.8.28,LAA,@PHI,2,DH,,5,1,0,0,0,0,0,0,0,20.00%,20.00%,0,0.333,80.4,0.25,0.4,0.25,0.221,32,0,1,4,1,1,1,1,0,0,0,0,1,0.65,0.1,,0,-0.4,2,0.00%,66.70%,33.30%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,0.00%,33.30%,33.30%,33.30%,2,1,0,0,0,0,0,8,8,16,0.8,0,0.00%,0,-0.07,0.07,0.32,0.03,1.27,,0,-0.03,0.04,94.5,12.50%,83.5,12.50%,86,,,,,37.50%,86.8,,,6.30%,0.2,-0.2,0.1,,,-0.2,,4.15,-10.11,4.72,,,-3.86,,27.30%,80.00%,43.80%,66.70%,100.00%,85.70%,31.30%,20.00%,6.30%,3,106.1,1,33.30%
2023.8.27,LAA,@NYM,2,DH,,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,85.2,0,0,0,0,-100,0,1,4,0,0,0,2,0,0,0,0,0,0,0.1,,-1,-1.1,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,1,0,1,0,0,0,0,4,14,18,-1.7,0,0.00%,-0.12,-0.12,0,-1.04,-0.11,1.17,,0,-0.1,0,94.6,22.20%,86.3,,,11.10%,80,16.70%,86.3,,,,,,-0.3,-0.6,,0,-0.1,,,-3.47,-15.38,,-0.73,-3.48,,,66.70%,33.30%,55.60%,62.50%,100.00%,70.00%,33.30%,75.00%,16.70%,2,100.5,1,50.00%
2023.8.26,LAA,@NYM,2,DH,,5,2,1,1,0,2,1,2,0,40.00%,0.00%,1,0.667,92.3,0.667,0.8,1.667,0.877,487,0,1,3,0,2,1,0,0,0,0,0,2,2.467,10,,3,2.3,0,66.70%,0.00%,33.30%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,0.00%,0.00%,33.30%,66.70%,0,1,2,0,0,0,0,7,10,17,25.8,1,33.30%,0.11,-0.01,0.12,1.67,0.18,0.39,,0,0.25,0.04,92.7,35.30%,83.5,,,5.90%,78,11.80%,87.5,11.80%,88,,,23.50%,0.8,0.8,,0,0,0.2,,14.09,13.66,,3.64,-0.68,11.3,,22.20%,75.00%,47.10%,50.00%,100.00%,87.50%,47.10%,20.00%,5.90%,3,109.6,1,33.30%
2023.8.25,LAA,@NYM,2,DH,,5,1,1,0,0,1,0,0,0,60.00%,0.00%,0.5,0.5,101.3,0.5,0.8,1,0.659,336,0,1,2,0,3,1,0,0,0,0,0,3,1.8,1.1,,2,1.4,1,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,50.00%,50.00%,1,0,1,0,0,0,0,10,6,16,10.7,1,50.00%,0.15,-0.02,0.17,1.62,0.17,0.88,,0,0.13,0.04,92,12.50%,82.5,43.80%,93.9,,,,,18.80%,83.3,,,25.00%,0,0.6,0.3,,,0.2,,-0.52,32.13,4.75,,,8,,8.30%,75.00%,25.00%,0.00%,100.00%,75.00%,25.00%,40.00%,6.30%,2,115.4,1,50.00%
