Date,Team,Opp,BO,Pos,divider,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,type,G,AB,1B,BB,IBB,SO,HBP,SF,SH,GDP,BB/K,OPS,Spd,wSB,wRC,wRAA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,GB,FB,LD,IFFB,IFH,BU,BUH,Balls,Strikes,Pitches,LA,Barrels,Barrel%,WPA,#NAME?,#NAME?,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,Events,maxEV,HardHit,HardHit%
Total,- - -,- - -,- - -,- - -,,678,161,29,2,26,70,93,7,2,5.60%,31.10%,0.178,0.342,91.3,0.258,0.305,0.435,0.317,105,0,160,625,104,38,2,211,8,7,0,6,0.18,0.741,3.7,,82,-1.1,1.16,19.50%,43.20%,37.30%,7.60%,16.60%,8.80%,0.00%,38.20%,36.30%,25.40%,15.70%,44.40%,39.90%,182,157,82,12,16,0,0,865,1810,2675,12.3,58,13.80%,-1.31,-12.72,11.41,3.49,0.27,1.02,4.55,1,0.33,-1.61,93.9,31.20%,84.5,7.60%,88.8,9.10%,80.4,8.20%,85.3,3.10%,85.8,,,,14.2,-10.4,-3.6,-2.8,6.5,-1.1,,1.3,-1.24,-1.78,-1.16,2.96,-1.25,,38.50%,74.90%,53.60%,49.80%,79.10%,66.90%,41.60%,65.20%,17.80%,421,112.6,208,49.40%
2023.9.30,SEA,TEX,5,RF,,4,0,0,0,0,0,0,0,0,0.00%,25.00%,0,0,95.4,0,0,0,0,-100,0,1,4,0,0,0,1,0,0,0,0,0,0,0.1,,-1,-1.1,0.5,0.00%,33.30%,66.70%,50.00%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,33.30%,33.30%,33.30%,1,2,0,1,0,0,0,5,11,16,44.1,0,0.00%,-0.04,-0.04,0,-0.62,-0.07,0.4,,0,-0.1,0,92.4,31.30%,83.4,,,6.30%,86,6.30%,83,12.50%,85,,,,-0.7,-0.1,,-0.1,0.1,-0.3,,-9.8,-1.29,,-12.69,10.95,-14.17,,12.50%,75.00%,43.80%,0.00%,83.30%,71.40%,50.00%,75.00%,12.50%,3,106.5,1,33.30%
2023.9.29,SEA,TEX,5,RF,,3,1,0,0,0,1,0,0,0,0.00%,33.30%,0,0.5,106,0.333,0.333,0.333,0.294,89,0,1,3,1,0,0,1,0,0,0,0,0,0.667,2.6,,0,-0.1,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,2,0,0,0,0,0,0,4,8,12,3.6,0,0.00%,0,-0.02,0.02,0.07,0.01,0.35,,0,-0.01,0,96,16.70%,89,,,8.30%,84,,,25.00%,89.3,,,,-0.2,-0.1,,0,,0.3,,-3.9,-5.76,,3.64,,9.43,,42.90%,80.00%,58.30%,66.70%,25.00%,42.90%,41.70%,66.70%,33.30%,2,107.8,2,100.00%
2023.9.28,SEA,TEX,4,RF,,4,0,0,0,0,0,0,0,0,0.00%,50.00%,0,0,78.5,0,0,0,0,-100,0,1,4,0,0,0,2,0,0,0,0,0,0,0.1,,-1,-1.1,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,100.00%,0.00%,2,0,0,0,0,0,0,6,9,15,-2.1,0,0.00%,-0.15,-0.15,0,-0.9,-0.1,1.3,,0,-0.11,-0.01,92,6.70%,90,,,6.70%,80,33.30%,83.2,33.30%,84.6,,,0.30%,0,-0.1,,-0.3,-0.4,-0.2,,0.06,-7.16,,-31.29,-8.1,-4.14,,33.30%,66.70%,46.70%,33.30%,100.00%,71.40%,40.00%,25.00%,13.30%,2,86.6,0,0.00%
2023.9.27,SEA,HOU,4,RF,,5,0,0,0,0,0,0,0,0,0.00%,60.00%,0,0,88.5,0,0,0,0,-100,0,1,5,0,0,0,3,0,0,0,0,0,0,0.1,,-1,-1.3,1,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,1,1,0,0,0,0,0,4,12,16,22.4,0,0.00%,-0.15,-0.15,0,-1.82,-0.19,1.22,,0,-0.12,0,95.5,12.50%,87.5,,,18.80%,80.7,18.80%,91,,,,,,-0.4,-0.2,,-0.4,-0.4,,,-4.77,-11.89,,-12.77,-14.47,,,37.50%,87.50%,62.50%,33.30%,28.60%,30.00%,50.00%,60.00%,43.80%,2,91.3,0,0.00%
2023.9.26,SEA,HOU,4,RF,,4,1,0,0,0,0,1,0,0,0.00%,50.00%,0,0.5,91.3,0.25,0.25,0.25,0.221,38,0,1,4,1,0,0,2,0,0,0,0,0,0.5,0.1,,0,-0.3,1,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,50.00%,1,1,0,0,0,0,0,5,12,17,22.3,0,0.00%,-0.03,-0.05,0.03,-0.05,-0.01,0.63,,0,0,-0.05,93.7,47.10%,82.1,,,17.60%,75,,,,,,,,-0.3,0.2,,-0.2,,,,-4.96,1.91,,-6.79,,,,30.00%,85.70%,52.90%,0.00%,66.70%,44.40%,41.20%,100.00%,29.40%,2,102.1,1,50.00%
2023.9.25,SEA,HOU,4,DH,,3,0,0,0,0,0,0,0,0,0.00%,100.00%,0,0,,0,0,0,0,-100,0,1,3,0,0,0,3,0,0,0,0,0,0,0.1,,0,-0.8,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,0,0,0,0,0,0,0,3,10,13,,0,,-0.04,-0.04,0,-0.52,-0.06,0.52,,0,-0.07,0,93.3,46.20%,86.8,,,7.70%,77,,,,,,,,-0.3,-0.6,,0,,,,-4.57,-9.37,,0,,,,0.00%,66.70%,46.20%,,50.00%,50.00%,69.20%,33.30%,23.10%,0,,0,
2023.9.24,SEA,@TEX,4,RF,,5,2,0,0,1,2,2,0,0,20.00%,40.00%,0.75,1,89.9,0.5,0.6,1.25,0.717,382,0,1,4,1,1,0,2,0,0,0,0,0.5,1.85,2.6,,2,1.7,1,0.00%,50.00%,50.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,50.00%,50.00%,1,1,0,0,0,0,0,8,17,25,19,1,50.00%,0.09,-0.11,0.19,1.99,0.19,1.47,,0,0.13,-0.07,93.8,16.00%,85.3,12.00%,89,12.00%,75.7,,,40.00%,85.8,,,,-0.2,0,1.3,0.6,,-0.1,,-4.71,1.18,44.6,19.9,,-1.19,,47.10%,50.00%,48.00%,75.00%,50.00%,66.70%,32.00%,60.00%,16.00%,2,107.1,1,50.00%
2023.9.23,SEA,@TEX,3,DH,,4,1,0,0,0,0,0,0,0,25.00%,25.00%,0,0.5,100.8,0.333,0.5,0.333,0.395,159,0,1,3,1,1,0,1,0,0,0,0,1,0.833,0.1,,1,0.3,2,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,2,0,0,0,0,0,0,5,7,12,0.9,0,0.00%,-0.04,-0.07,0.03,-0.39,-0.04,0.99,,0,-0.02,-0.02,93,16.70%,92,,,33.30%,79.5,25.00%,83.3,16.70%,83.5,,,,0.1,-0.2,,-0.3,0.7,0,,11.86,-12.07,,-8,22.03,-1.86,,33.30%,66.70%,41.70%,66.70%,50.00%,60.00%,25.00%,75.00%,16.70%,2,103.1,2,100.00%
2023.9.22,SEA,@TEX,4,RF,,5,0,0,0,0,0,0,0,0,20.00%,20.00%,0,0,97.9,0,0.2,0,0.139,-18,0,1,4,0,1,0,1,0,0,0,0,1,0.2,0.1,,0,-0.7,3,0.00%,100.00%,0.00%,0.00%,0.00%,33.30%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,3,0,0,0,1,0,0,7,12,19,-3.4,0,0.00%,-0.05,-0.07,0.02,-1.06,-0.1,0.6,,0,-0.01,-0.08,95.5,73.70%,82.2,,,,,5.30%,86,,,,,,0.2,-0.2,,,0,,,4.03,-1.14,,,3.64,,,14.30%,75.00%,52.60%,0.00%,77.80%,70.00%,63.20%,40.00%,15.80%,3,104.1,2,66.70%
2023.9.20,SEA,@OAK,4,DH,,5,1,0,0,0,0,0,0,0,0.00%,60.00%,0,0.5,98.4,0.2,0.2,0.2,0.177,8,0,1,5,1,0,0,3,0,0,0,0,0,0.4,0.1,,0,-0.6,1,50.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,0.00%,50.00%,0.00%,50.00%,50.00%,1,0,1,0,1,0,0,4,16,20,8.8,0,0.00%,0.06,-0.02,0.08,0.49,0.05,0.72,,0,0,0.08,93.7,25.00%,81,5.00%,86,10.00%,82.5,5.00%,82,,,,,,0.1,0.2,0,-0.1,-0.2,,,1.33,4.11,2.69,-4.9,-19.99,,,69.20%,42.90%,60.00%,33.30%,33.30%,33.30%,35.00%,100.00%,40.00%,2,100.5,2,100.00%
2023.9.19,SEA,@OAK,4,RF,,5,2,1,0,0,1,1,1,0,40.00%,0.00%,0.333,0.667,98.5,0.667,0.8,1,0.704,373,0,1,3,1,2,0,0,0,0,0,0,2,1.8,5.5,,2,1.6,3,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.30%,66.70%,0.00%,0.00%,33.30%,66.70%,3,0,0,0,0,0,0,13,13,26,-1,0,0.00%,0.08,-0.02,0.11,2.16,0.23,0.68,,0,0.18,-0.06,92.7,34.60%,84.2,11.50%,87.3,,,11.50%,86,,,,,,0.5,1.1,0,,0,,,4.74,12.07,1.45,,0.54,,,26.30%,85.70%,42.30%,80.00%,83.30%,81.80%,26.90%,60.00%,7.70%,3,104.6,2,66.70%
